Customer ID,Age,Gender,Income Level,Location,Education Level
1,61,Female,High,"Los Angeles, CA",Undergraduate
2,44,Male,High,"Houston, TX",Graduate
3,43,Male,Low,"Miami, FL",High School
4,26,Other,Medium,"Los Angeles, CA",Graduate
5,47,Male,High,"Los Angeles, CA",Undergraduate
6,60,Male,Medium,"Chicago, IL",Undergraduate
7,35,Other,Low,"Houston, TX",Undergraduate
8,25,Female,High,"New York, NY",High School
9,19,Other,High,"Miami, FL",Undergraduate
10,63,Male,Low,"Houston, TX",High School
11,79,Female,Low,"Houston, TX",High School
12,29,Female,High,"New York, NY",Graduate
13,74,Other,Medium,"New York, NY",Undergraduate
14,77,Male,High,"Los Angeles, CA",Graduate
15,18,Male,Low,"Los Angeles, CA",Graduate
16,67,Other,Medium,"New York, NY",Undergraduate
17,68,Other,High,"Houston, TX",Graduate
18,36,Other,Low,"Houston, TX",Graduate
19,65,Other,Low,"Miami, FL",High School
20,42,Male,Low,"Chicago, IL",Undergraduate
21,68,Male,High,"Miami, FL",Undergraduate
22,61,Other,Low,"Los Angeles, CA",Graduate
23,76,Female,Low,"Los Angeles, CA",Undergraduate
24,23,Other,Low,"Chicago, IL",High School
25,62,Male,Low,"Houston, TX",Graduate
26,43,Female,Low,"Chicago, IL",Graduate
27,46,Male,High,"Houston, TX",Graduate
28,21,Male,High,"New York, NY",Undergraduate
29,54,Male,Medium,"New York, NY",Graduate
30,77,Other,Medium,"Houston, TX",High School
31,57,Other,Low,"Houston, TX",Undergraduate
32,77,Female,Low,"Houston, TX",High School
33,62,Male,Low,"Los Angeles, CA",Graduate
34,18,Female,High,"Los Angeles, CA",Undergraduate
35,58,Other,High,"New York, NY",High School
36,34,Male,Medium,"Chicago, IL",Graduate
37,45,Female,Low,"Los Angeles, CA",High School
38,29,Female,Low,"New York, NY",Undergraduate
39,76,Male,Low,"Miami, FL",Undergraduate
40,69,Other,Medium,"New York, NY",Undergraduate
41,26,Other,High,"Chicago, IL",Graduate
42,44,Female,Medium,"Los Angeles, CA",Undergraduate
43,67,Male,High,"Houston, TX",Undergraduate
44,30,Male,High,"Chicago, IL",Undergraduate
45,47,Female,Medium,"Chicago, IL",Graduate
46,57,Female,Low,"Houston, TX",High School
47,66,Male,Medium,"Miami, FL",Undergraduate
48,35,Female,High,"Miami, FL",Graduate
49,38,Other,Medium,"Miami, FL",High School
50,33,Male,Medium,"Los Angeles, CA",High School
51,21,Male,Medium,"New York, NY",High School
52,77,Other,High,"Houston, TX",Undergraduate
53,38,Female,High,"Los Angeles, CA",Graduate
54,79,Female,High,"Houston, TX",Undergraduate
55,65,Male,High,"Chicago, IL",High School
56,72,Female,Low,"Houston, TX",Undergraduate
57,34,Male,High,"Los Angeles, CA",High School
58,30,Other,Medium,"New York, NY",Graduate
59,67,Female,Low,"Chicago, IL",High School
60,27,Female,Medium,"Los Angeles, CA",Undergraduate
61,54,Male,Medium,"Houston, TX",High School
62,42,Male,Medium,"Chicago, IL",High School
63,72,Other,Low,"New York, NY",High School
64,71,Female,Low,"Houston, TX",Undergraduate
65,20,Male,Low,"New York, NY",High School
66,74,Other,High,"Los Angeles, CA",Undergraduate
67,79,Female,Low,"Chicago, IL",Graduate
68,54,Other,Medium,"Los Angeles, CA",High School
69,65,Female,Medium,"Miami, FL",High School
70,49,Other,Medium,"Los Angeles, CA",Graduate
71,61,Male,Medium,"Chicago, IL",Undergraduate
72,41,Other,Medium,"Houston, TX",Undergraduate
73,54,Male,Medium,"New York, NY",High School
74,21,Male,Medium,"Los Angeles, CA",High School
75,62,Female,High,"Miami, FL",Graduate
76,74,Female,High,"New York, NY",Undergraduate
77,51,Male,Medium,"Chicago, IL",High School
78,71,Female,Medium,"New York, NY",High School
79,33,Female,Low,"Miami, FL",High School
80,23,Male,Medium,"Los Angeles, CA",High School
81,30,Female,Low,"New York, NY",High School
82,77,Female,High,"Los Angeles, CA",Graduate
83,74,Other,Low,"Miami, FL",High School
84,35,Male,Medium,"Houston, TX",High School
85,40,Male,High,"Chicago, IL",Undergraduate
86,21,Female,Low,"New York, NY",High School
87,65,Other,Low,"Miami, FL",High School
88,59,Male,Medium,"Chicago, IL",High School
89,45,Female,Medium,"Miami, FL",Undergraduate
90,57,Other,Medium,"Chicago, IL",Undergraduate
91,78,Male,Medium,"Chicago, IL",High School
92,24,Female,High,"Chicago, IL",Graduate
93,18,Female,Low,"Chicago, IL",Graduate
94,26,Male,Medium,"Chicago, IL",Undergraduate
95,51,Male,Medium,"New York, NY",Undergraduate
96,41,Female,High,"New York, NY",Undergraduate
97,57,Female,Medium,"Houston, TX",Graduate
98,24,Female,Low,"New York, NY",Graduate
99,32,Female,Low,"New York, NY",Graduate
