transaction_id,customer_id,transaction_date,amount_spent,merchant_category,reward_points_earned,card_type
1,76,2023-10-01 06:29:38.789946,305.03,Groceries,31,External
2,884,2023-08-11 18:10:38.789946,486.6,Retail,49,External
3,698,2024-06-13 02:56:38.789946,106.86,Groceries,11,External
4,161,2023-09-05 01:26:38.789946,490.99,Dining,49,External
5,678,2024-04-25 10:01:38.789946,163.2,Dining,16,External
6,22,2023-12-17 21:31:38.789946,57.49,Groceries,6,External
7,490,2024-05-08 09:21:38.789946,160.97,Groceries,16,External
8,342,2023-09-30 14:33:38.789946,356.24,Retail,36,External
9,604,2024-05-30 22:24:38.789946,370.1,Groceries,37,Internal
10,641,2024-06-23 05:16:38.789946,195.76,Entertainment,20,External
11,676,2023-12-04 12:03:38.789946,22.72,Dining,2,External
12,626,2023-12-17 11:35:38.789946,212.4,Dining,21,External
13,732,2023-07-21 21:49:38.789946,158.15,Entertainment,16,Internal
14,916,2023-10-28 10:55:38.789946,217.82,Dining,22,External
15,487,2023-08-20 12:34:38.789946,390.93,Entertainment,39,Internal
16,355,2024-06-27 01:26:38.789946,241.9,Dining,24,Internal
17,450,2024-06-07 23:43:38.789946,123.44,Entertainment,12,Internal
18,694,2024-01-06 19:04:38.789946,447.46,Dining,45,Internal
19,380,2024-02-14 06:20:38.789946,165.26,Travel,17,External
20,283,2023-10-31 12:09:38.789946,313.38,Entertainment,31,Internal
21,119,2024-06-05 18:27:38.789946,184.64,Groceries,18,Internal
22,149,2023-10-24 18:29:38.789946,277.59,Travel,28,Internal
23,790,2023-09-15 21:44:38.789946,114.1,Dining,11,Internal
24,157,2023-08-14 16:59:38.789946,30.04,Travel,3,External
25,856,2023-07-16 19:23:38.789946,377.22,Groceries,38,Internal
26,201,2024-04-27 09:48:38.789946,218.85,Entertainment,22,Internal
27,422,2023-11-07 08:11:38.789946,398.12,Retail,40,External
28,620,2024-04-06 18:10:38.789946,498.22,Travel,50,External
29,198,2024-03-09 15:11:38.789946,471.34,Retail,47,Internal
30,261,2023-12-22 11:58:38.789946,428.59,Dining,43,Internal
31,59,2024-02-04 22:35:38.789946,456.55,Retail,46,External
32,370,2024-01-13 17:20:38.789946,187.19,Retail,19,External
33,195,2024-05-12 06:54:38.789946,35.96,Retail,4,External
34,186,2024-01-07 19:46:38.789946,175.8,Retail,18,External
35,673,2024-01-11 00:38:38.789946,208.35,Groceries,21,External
36,770,2023-10-27 05:36:38.789946,121.03,Dining,12,External
